 Тег (H1),ID в админке,inlinks (Куда) Перелинковка,Верхняя перелинковка,Ссылка с главной,"Базовая частота ""W""","Базовая частота ""W"" в месяц",Наличие курсов,Стаус,Раздел,SEO,URL,Символьный код,Title,Description,H1,ТЗ на текст,Статус SEO,Текст,Статус вплетение интентов,Статус текст,Графика,Статус графики,Видео,КМ,Статус публикации,Проверяющий,Статус страницы,Коммментрий,Индексирование,Автор,ТЗ на улучшение,ID Родительского листинга,Outlinks (Откуда) Каталог,Inlinks (Куда) Каталог
Курсы графического дизайна,152,,"157,158,166,150,148,126,134,136",TRUE,243 950,20 329,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/graficheskij-dizajn/,graficheskij-dizajn,Курсы графического дизайна - обучение онлайн с нуля,Курсы графического дизайна для начинающих. Ознакомьтесь с отзывами и условиями дистанционного обучения. Выберите для себя подходящую программу и станьте специалистом.,Курсы графического дизайна,https://docs.google.com/document/d/1CgaqMR8eogLdxfTNNRdkTJoYPnCsmatsaqGDDTGtcW0/edit,Готово,https://docs.google.com/document/d/1vRuzXnRFfiyNsbvv8WX_nAlpnCO34I-zE0r1r6EZPBM/edit,Не в работе,Готово,https://drive.google.com/file/d/1rcB1tkfLopiPXDo-yE73I2zaYRNRpkDJ/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,117,Курсы дизайна,
Курсы веб дизайна,149,,"165,144,143,136,157,152,166",TRUE,157 348,13 112,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/veb-dizajn/ , ,Курсы по веб-дизайну - обучение с нуля для начинающих ,Онлайн-курсы веб-дизайну с нуля. Ознакомьтесь с программами обучения и отзывами пользователей. Станьте специалистом и получите хорошие знания для старта.,Курсы веб-дизайна,https://docs.google.com/document/d/1ubQNFFtHKpPBoaiEcJ7G3KgATyH34vPAJBNTFr_sCdQ/edit,Готово,https://docs.google.com/document/d/1zngpB-vJ3ZXBN9S2L3VRF_khQykANvLjDSgaqzfQlfg/edit,Не в работе,Готово,https://drive.google.com/file/d/1_miVf6w--CBcuKc6PP2LRji_-oZY5RXK/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,117,Курсы дизайна,
Курсы дизайна интерьера,153,,"128,118,120,147,120,135,159",FALSE,114 949,9 579,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/dizajn-interera/ , ,Курсы дизайна интерьера - обучение с нуля онлайн для начинающих,Онлайн-курсы дизайна интерьера с нуля. Ознакомьтесь с отзывами и рейтингом школ. Подберите для себя подходящую программу обучения и станьте востребованным специалистом.,Курсы дизайна интерьера,https://docs.google.com/document/d/1ZBUSDfOqUSUQwYB2ByKKqkDMYuTmUDE-JLmwWZRIbjs/edit,Готово,https://docs.google.com/document/d/1DGAB9O7XJA-w7i9GVMNbJxrN8eAukkRi4GVS1vxJeKU/edit,Не в работе,Готово,https://drive.google.com/file/d/1pdPRmjjfhqe3ICniMZgcN_YMCXq9KxAF/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,117,Курсы дизайна,
Обучение инфографики,157,,"152,149,136,126,158",FALSE,82 444,6 870,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/infografika/,infografika,Обучение инфографике - курс с нуля онлайн и отзывы пользователей,Онлайн-обучение инфографики с нуля. Подберите для себя подходящую онлайн-школу. Ознакомьтесь с отзывами и условиями обучения. Станьте  востребованным специалистом.,Курсы инфографики,https://docs.google.com/document/d/1Eb0AnB747L4sd-benBiTt-Y_bsA_DwKEeB8RzyiAS2U/edit,Готово,https://docs.google.com/document/d/11FezgZvhbbOoLI61pB1T3kVNO4TTR7iV3eadYzjgVYc/edit#heading=h.u1idecinb4lv,Не в работе,Готово,https://drive.google.com/file/d/1eRa3ZLQWR6CgIRVHIPISPBdy5qeRJWcO/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,152,Курсы графического дизайна,
Курсы ландшафтного дизайна,159,,"140,129,120,118,153,147,135",FALSE,74 870,6 239,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/landshaftnyj-dizajn/,landshaftnyj-dizajn,Обучение ландшафтному дизайну - курсы с нуля для начинающих онлайн,Онлайн-курсы по ландшафтному дизайну с нуля.Ознакомьтесь с отзывами и рейтингом школ. Подберите для себя подходящую программу обучения и станьте востребованным специалистом.,Курсы ландшафтного дизайна,https://docs.google.com/document/d/1aYeCGVIxwv6X_Zr50dvYcm_b3Azjkal-VzOCwfuIHP8/edit,Готово,https://docs.google.com/document/d/1gQkfpxIwU1A8coeSHHiF-Gjg9E3AsT19ZCQvKRX58P4/edit,Не в работе,Готово,https://drive.google.com/file/d/1DtRqI9yz3eJpoPjAnzaY7t6QrmQ8I-YX/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,117,Курсы дизайна,
Курсы по черчению,168,,"129,147,122,159",FALSE,62 063,5 172,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/cherchenie/,cherchenie,Курсы по черчению - обучение с нуля для начинающих,Мы подобрали для вас лучшие онлайн-курсы по черчению. Обучитесь профессиональным видам технической графики с нуля. Реальные оценки и отзывы от людей.,Курсы черчения,https://docs.google.com/document/d/1QnA9ssOu8JD8AwQGinrzswnMnNfsBWKgSqcwpZYDCX4/edit?usp=sharing,Готово,https://docs.google.com/document/d/1ltB23BSrlNDoaMUMm9UPfh84KoV2JkyFkO6krP_oiLY/edit,Не в работе,Готово,https://drive.google.com/file/d/1gcf2Xx1-VES9EZoFt8uc10TvPdu8lFqH/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Андрей Заев,,147,Обучение архитектуре,
Обучение архитектуре,147,,"168,153,159,140,126,120,139",FALSE,59 968,4 997,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/arhitektura/,arhitektura,Курсы по архитектуре - онлайн обучение с нуля ,Онлайн-курсы по архитектуре для начинающих. Ознакомьтесь условиями и отзывами пользователе. Выбери для себя подходящую программу обучения и стань профессиональным архитектором.,Курсы по архитектуре,https://docs.google.com/document/d/1iR9XuV-yNp3B00Dnl3zndTju30Goa5_Ox79G-I4e4-k/edit,Готово,https://docs.google.com/document/d/1pGY51gjEOjtMHnKOUMy4x_3nz_ippAKIfXEijKunRvI/edit#heading=h.tofpy3id0qsz,Не в работе,Готово,https://drive.google.com/file/d/1LrWXy5ucK08NvDdEbnWKDyHk9-gtMfeu/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Ирина Суслова,,117,Курсы дизайна,
Курсы Тильда,143,,"165,149,136,126,144,124,152",FALSE,54 199,4 517,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/tilda/,tilda,Обучение Тильде - курсы по созданию сайтов с нуля онлайн,Курсы по Tilda (Тильда) для начинающих. Создай свой сайт при помощи популярного конструктора. Предложения лучших онлайн-школ собраны специально для вас.,Курсы по Тильде,https://docs.google.com/document/d/1SzhOlCU5r5NhO0AREOaja1IbTA8HLhRC2lm3RIGpV8A/edit,Готово,https://docs.google.com/document/d/1gpvylAZ3vTGvBX8D0M5OWlyiGfIrPuWw-1KMlUPnQI4/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1gf3kKk72-yiQYT4p3t2dJ47qvPVKsNcw/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,149,Курсы веб дизайна,
Обучение иллюстрации,156,,"131,164,167",TRUE,44 319,3 693,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/illyustratsiya/,illyustratsiya,Курсы по иллюстрации - обучение онлайн с нуля для новичков,Онлайн-курсы иллюстрации для начинающих. Ознакомьтесь с программами обучения и отзывами пользователей. Стань специалистом и получи востребованную профессию.,Курсы по иллюстрации,https://docs.google.com/document/d/1jRZFjlzegnnE5vzDY117k_Ytz6HgB_aSMAxAfrFAJpo/edit,Готово,https://docs.google.com/document/d/1lL76vWsoJs6rwaLtUMu_lYH57uXgLo1nuAtxvhFVsvE/edit#,Не в работе,Готово,https://drive.google.com/file/d/17EBZrTMwTUuNNWhFVVeCrAjV9MZqVzIH/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Анастасия Матюшкина,,117,Курсы дизайна,
Курсы 3D моделирования,122,,"120,121,119,129,153,147,151,161",TRUE,35 244,2 937,TRUE,Активна,Дизайн,,https://kursy.ru/dizajn/3d-modelirovanie/,3d-modelirovanie,Курсы 3D-моделирования - обучение с нуля в онлайн-школах для новичков ,Онлайн-курсы по 3D моделирование для начинающих. Ознакомьтесь с программами обучения и отзывами пользователей. Получите основные знания и станьте востребованным специалистом.,Курсы по 3D-моделированию,https://docs.google.com/document/d/1LKlJX40c6NODWt9dNG4M6J26t3rIgjYqdZWrJUCaJQY/edit,Готово,https://docs.google.com/document/d/1qFrB1C8nHAMoEbnkkKXYJTTJzGQ8Uw1eik0S2xOp_VE/edit,Не в работе,Готово,https://drive.google.com/file/d/1TNTm1NUhq_yxcJE90A3PCoMwZeemlc84/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Анастасия Матюшкина,,117,Курсы дизайна,
